Título,Año,Descripción,Autor,Tipo de archivo,Link sinia,Link externo,Link,Código,Perfil,Clasificación,documentos complementarios,ampyd,Ubicación en la estructura
Acta Consejo Asesor Externo N° 1 - 1ra Reunión Ordinaria 2022 - Gabinete Nacional de Cambio Climático,2022,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/558/Acta%20N%201%20-%20CAE%202022%201ra%20Reuni%C3%B3n%20Ordinaria.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Acta Consejo Asesor Externo N° 2 - 1ra Reunión Extraordinaria 2022 - Gabinete Nacional de Cambio Climático,2022,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/559/Acta%20N%202%20-%20CAE%202022%201ra%20Reuni%C3%B3n%20Extraordinaria.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Acta Consejo Asesor Externo N° 3 - 2da Reunión Ordinaria 2022 - Gabinete Nacional de Cambio Climático,2022,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/560/Acta%20N%203%20-%20CAE%202022%202da%20Reuni%C3%B3n%20Ordinaria.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Acta Consejo Asesor Externo N° 4 - 3ra Reunión Ordinaria 2022 - Gabinete Nacional de Cambio Climático,2022,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/561/Acta%20N%204%20-%20CAE%202022%203da%20Reuni%C3%B3n%20Ordinaria.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Acta Consejo Asesor Externo N° 5 - 2da Reunión Extraordinaria 2022 - Gabinete Nacional de Cambio Climático,2022,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/562/Acta%20N%205%20-%20CAE%202022%202da%20Reuni%C3%B3n%20Extraordinaria.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Acta Consejo Asesor Externo N° 6 - 1ra Reunión Ordinaria 2023 - Gabinete Nacional de Cambio Climático,2023,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/563/Acta%20N%206%20-%20CAE%202023%201ra%20Reuni%C3%B3n%20Ordinaria.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Acta Consejo Asesor Externo N° 7 - 2da Reunión Ordinaria 2023 - Gabinete Nacional de Cambio Climático,2023,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/564/Acta%20N%207%20-%20CAE%202023%202da%20Reuni%C3%B3n%20Ordinaria.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Acta Consejo Asesor Externo N° 8 - 3ra Reunión Ordinaria 2023 - Gabinete Nacional de Cambio Climático,2023,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/565/Acta%20N%208%20-%20CAE%202023%203ra%20Reuni%C3%B3n%20Ordinaria.pdf,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,GNCC,"Adaptación, Mitigación, Pérdidas y daños",¿Que esta haciendo el estado nacional - Marco Nacional - Ley 27520 - GNCC
Herramienta AMC para evaluación de medidas -  PNAyMCC,,,Ministerio de Ambiente y Desarrollo Sostenible,Excel,Link,,,,Incluir sólo en la estructuctura correspondiente,Solo en biblioteca general,Gestión climática -sobre adaptación,Adaptación,Gestión climática -sobre adaptación
Mapa de actores clave para la elaboración participativa con comunidades ,2022,,Ministerio de Ambiente y Desarrollo Sostenible,Documento,Link,,https://ciam.ambiente.gob.ar/images/uploaded/recursos/521/Mapeo%20de%20actores-%20Di%C3%A1logos%20Interculturales%20.pdf,,"Pueblos indigenas, Gestores públicos locales, Gestores públicos provinciales, Gestores públicos nacionales",Ciudadanía,Participación Indígena,Adaptación,¿Que esta haciendo el estado nacional - Marco Nacional -Sectores en la accion climática - Interculturalidad
